date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3.533989748458225,-8.261223347411677,-9.404055611238594,0.10710576206724731,0.0,0.0,0.0,-6.02324698626703,0.8988296120643327,0.0,0.0,1.7853136775181753,0.0,0.0,0.0,0.0,-9.87002480643878,0.0,0.0,0.0
1,10.134144289620853,-9.575233813040557,-14.139215219829715,-7.861019115157453,0.0,0.0,0.0,-3.5007788769527655,-3.8059924896096256,0.0,0.0,6.992848699723134,0.0,0.0,0.0,0.0,-4.72326426617944,0.0,0.0,0.0
2,10.666147183810708,-9.68114911643998,-14.520890921589515,-8.50328672715234,0.0,0.0,0.0,-3.297456314384342,-4.185222848403321,0.0,0.0,7.412600038291042,0.0,0.0,0.0,0.0,-4.308411631132232,0.0,0.0,0.0
3,4.640877423566685,-8.481591216117966,-10.198171836507715,-1.22919919341816,0.0,0.0,0.0,-5.600213124917131,0.10980117864776573,0.0,0.0,2.658650248325041,0.0,0.0,0.0,0.0,-9.006880500768611,0.0,0.0,0.0
4,-2.4020597604980063,-7.079428113585884,-5.14534595616809,7.273480953703258,0.0,0.0,0.0,-8.291905316654411,5.130254308590992,0.0,0.0,-2.898241157242844,0.0,0.0,0.0,0.0,-14.498920264444234,0.0,0.0,0.0
5,-3.9874204015232166,-6.763802098905282,-4.007958092654467,9.187428799066993,0.0,0.0,0.0,-8.897803501887461,6.260355086762394,0.0,0.0,-4.149093847051196,0.0,0.0,0.0,0.0,-15.73517489127476,0.0,0.0,0.0
6,1.3423687625844503,-7.824898274389563,-7.831717402348396,2.752969520268339,0.0,0.0,0.0,-6.860847683355658,2.4610940694379435,0.0,0.0,0.056120373307053883,0.0,0.0,0.0,0.0,-11.579037578632516,0.0,0.0,0.0
7,8.687124153926455,-9.287149709794207,-13.10107721008681,-6.114084695794514,0.0,0.0,0.0,-4.053805646714093,-2.774505685244129,0.0,0.0,5.8511469429735135,0.0,0.0,0.0,0.0,-5.851641804751554,0.0,0.0,0.0
8,11.294111537777859,-9.80616917892618,-14.971412409532808,-9.261405095389,0.0,0.0,0.0,-3.057458895113422,-4.63285790803446,0.0,0.0,7.908065158931112,0.0,0.0,0.0,0.0,-3.818728830899154,0.0,0.0,0.0
9,6.7664787361639815,-8.90477257544646,-11.723145443808432,-3.7953598177396173,0.0,0.0,0.0,-4.787844037086842,-1.4054021355299833,0.0,0.0,4.3357538993927935,0.0,0.0,0.0,0.0,-7.349349469976698,0.0,0.0,0.0
10,-0.7330895333598306,-7.411699779590884,-6.342717981050063,5.258594316842102,0.0,0.0,0.0,-7.6540529531839265,3.94055367920356,0.0,0.0,-1.58142033817935,0.0,0.0,0.0,0.0,-13.197467388707581,0.0,0.0,0.0
11,-4.309524789824454,-6.699675034211088,-3.7768702174052153,9.576293631470481,0.0,0.0,0.0,-9.02090638414466,6.489962414238531,0.0,0.0,-4.403234848208592,0.0,0.0,0.0,0.0,-15.986349942588204,0.0,0.0,0.0
12,-0.674668952012536,-7.423330606538906,-6.3846307537557445,5.188065288366761,0.0,0.0,0.0,-7.631725589111298,3.8989094357845295,0.0,0.0,-1.5353263836383966,0.0,0.0,0.0,0.0,-13.151911373171572,0.0,0.0,0.0
